#,Section,Asset Name,Count,Width (px),Height (px),Aspect Ratio,Format,Required,Where to Upload (Admin Path → Field),AI Image Prompt (paste into DALL-E / Midjourney / Stable Diffusion),Style Notes
1,Homepage Hero,Hero slider — Slide 1 (Personalised Gifts evergreen),1,1500,500,3:1,WebP/JPG,Required,/super-admin/banners → Banner image,"Premium lifestyle banner for Gifteeng personalised gifts. A warm cream linen surface (Pantone-cream #FAF7F2) with a curated flat-lay of personalised gifts: an engraved wooden photo frame with a happy family photo, a customised name mug, a small bouquet of dried flowers, scattered rose petals, kraft gift box with twine, gold confetti dust. Soft natural window light from upper-left, gentle long shadows. Generous empty space on the LEFT 40% for headline overlay. No people, no text on the image. Aspect 3:1, magazine-quality, premium boutique gifting feel.","Reserve left 40% for text. Avoid centred composition. Brand palette: red #EF3752, maroon #2D0712, gold #FBBF24, cream #FAF7F2."
2,Homepage Hero,Hero slider — Slide 2 (Diwali / festive),1,1500,500,3:1,WebP/JPG,Required,/super-admin/banners → Banner image,"Festive Diwali banner for Gifteeng. Deep maroon (#2D0712) and gold (#FBBF24) palette, glowing diya lamps in the corners, marigold petals scattered, soft bokeh of fairy lights, a personalised photo frame and gift box on a brass tray. Warm celebratory glow, festive but premium — not gaudy. Left 40% kept dark/clean for headline overlay. No people, no text, no Hindi script. Aspect 3:1.","Premium festive, NOT clip-art. Reserve left for text."
3,Homepage Hero,Hero slider — Slide 3 (Wedding / anniversary),1,1500,500,3:1,WebP/JPG,Required,/super-admin/banners → Banner image,"Elegant wedding/anniversary gifting banner. Dusty rose and champagne palette on cream background, a personalised couple photo frame, dried baby's-breath florals, a velvet ring box, gold foil ribbon, soft watercolour wash on edges. Romantic but understated. Left 40% reserved for headline overlay. No people, no text. Aspect 3:1, boutique stationery feel.","Champagne/rose. Reserve left 40% for text."
4,Homepage Hero,Hero slider — Slide 4 (Return gifts / corporate bulk),1,1500,500,3:1,WebP/JPG,Optional,/super-admin/banners → Banner image,"Bulk corporate gifting banner. A neat grid of identical premium gift boxes wrapped in kraft paper with twine, each tagged with a small wooden name plaque, arranged on a dark walnut wood table. Subtle gold accents, professional warm lighting. Aspirational, sophisticated, B2B-appropriate. Left 40% kept clean for headline. No people, no text. Aspect 3:1.","Professional B2B feel. Walnut + kraft + gold."
5,Homepage Hero,Hero slider — Slide 5 (Birthday / kids),1,1500,500,3:1,WebP/JPG,Optional,/super-admin/banners → Banner image,"Joyful birthday gift banner. Pastel palette (powder blue, blush pink, mint, butter yellow) on cream background. Personalised birthday photo frame, helium balloons in soft pastel colours, scattered confetti, a small birthday cake with a single candle, ribbon-wrapped gift boxes. Playful but tasteful. Left 40% reserved for headline. No people, no text. Aspect 3:1.","Pastel celebratory. Reserve left for text."
6,Categories — Icons,Category icon — Personalised Gifts,1,80,80,1:1,PNG (transparent),Required,/super-admin/categories → Icon,"Flat line icon of a gift box with a hand-drawn heart and the letter 'A' monogram on its tag, 2px stroke, brand red #EF3752 stroke on transparent background. Minimal, modern, recognisable at 24px. No fill, no shadow. 80x80 PNG with transparency.","2px stroke, red #EF3752, transparent PNG."
7,Categories — Icons,Category icon — Home Decor,1,80,80,1:1,PNG (transparent),Required,/super-admin/categories → Icon,"Flat line icon of a framed wall art piece next to a small potted plant, 2px stroke in brand red #EF3752 on transparent background. Minimal modern interior aesthetic. 80x80 PNG with transparency.","Frame + plant motif. Red stroke on transparent."
8,Categories — Icons,Category icon — Desk & Daily Use,1,80,80,1:1,PNG (transparent),Required,/super-admin/categories → Icon,"Flat line icon of a desk pen-stand with a notebook and a coffee mug, 2px stroke brand red #EF3752 on transparent. Workspace/office vibe but minimal. 80x80 PNG transparent.","Workspace icons. Red stroke."
9,Categories — Icons,Category icon — Car Accessories,1,80,80,1:1,PNG (transparent),Required,/super-admin/categories → Icon,"Flat line icon of a rear-view mirror hanging charm with a small keychain, 2px stroke brand red #EF3752 on transparent. Recognisable as car-themed without being a full car. 80x80 PNG transparent.","Rear-view charm motif."
10,Categories — Icons,Category icon — Fashion & Accessories,1,80,80,1:1,PNG (transparent),Required,/super-admin/categories → Icon,"Flat line icon of a handbag with a small tassel charm next to a pair of sunglasses, 2px stroke brand red #EF3752 on transparent. Elegant fashion vibe. 80x80 PNG transparent.","Bag + sunglasses combo."
11,Categories — Icons,Category icon — Kids Zone,1,80,80,1:1,PNG (transparent),Required,/super-admin/categories → Icon,"Flat line icon of a teddy bear sitting next to a stack of two children's blocks with letters, 2px stroke brand red #EF3752 on transparent. Playful but minimal. 80x80 PNG transparent.","Teddy + blocks. Playful minimal."
12,Categories — Icons,Category icon — Business & Office,1,80,80,1:1,PNG (transparent),Required,/super-admin/categories → Icon,"Flat line icon of a briefcase with a small name-tag badge, 2px stroke brand red #EF3752 on transparent. Corporate but warm. 80x80 PNG transparent.","Briefcase + badge."
13,Categories — Icons,Category icon — Fridge Magnets,1,80,80,1:1,PNG (transparent),Required,/super-admin/categories → Icon,"Flat line icon of three small rectangular fridge magnets arranged in a cluster, one with a photo silhouette inside, 2px stroke brand red #EF3752 on transparent. 80x80 PNG transparent.","Magnet cluster motif."
14,Categories — Icons,Category icon — Return Gifts,1,80,80,1:1,PNG (transparent),Required,/super-admin/categories → Icon,"Flat line icon of three identical small gift boxes arranged in a row with ribbon, suggesting bulk, 2px stroke brand red #EF3752 on transparent. 80x80 PNG transparent.","Three boxes in a row."
15,Categories — Icons,Category icon — Others,1,80,80,1:1,PNG (transparent),Required,/super-admin/categories → Icon,"Flat line icon of a single wrapped gift box with a question-mark twirl on the ribbon, 2px stroke brand red #EF3752 on transparent. Generic catch-all category. 80x80 PNG transparent.","Wrapped gift + curiosity flourish."
16,Categories — Heroes,Category hero — Personalised Gifts,1,1200,600,2:1,JPG/WebP,Optional,/super-admin/categories → Hero image,"Wide cream studio surface with a beautiful arrangement of personalised gifts: an engraved wooden photo frame, a custom name mug with steaming coffee, a personalised keychain, a kraft gift box with twine and a name tag. Soft daylight from upper-left, gentle long shadows. Cream + warm wood + brand red accent ribbon. Aspect 2:1. No people, no text. Magazine flat-lay quality.","Studio flat-lay. Cream + wood + red accent."
17,Categories — Heroes,Category hero — Home Decor,1,1200,600,2:1,JPG/WebP,Optional,/super-admin/categories → Hero image,"Modern Indian home interior corner: a wall with two personalised framed photos and a small painted name plaque, below it a sideboard with a brass candle holder, a small marble vase with dried flowers, woven baskets on the floor. Warm afternoon light, neutral walls (sage or warm grey). Aspect 2:1. No people, no text.","Modern Indian interior. Warm neutrals."
18,Categories — Heroes,Category hero — Desk & Daily Use,1,1200,600,2:1,JPG/WebP,Optional,/super-admin/categories → Hero image,"Sophisticated home workspace: a walnut desk with a personalised name desk plaque, a leather notebook with embossed initials, a brass pen stand with quality pens, a custom coaster under a cappuccino. Soft window light. Aspect 2:1. No people visible (a hand reaching from edge is OK), no text.","Premium desk flat-lay. Walnut + brass + leather."
19,Categories — Heroes,Category hero — Car Accessories,1,1200,600,2:1,JPG/WebP,Optional,/super-admin/categories → Hero image,"Close-up of a personalised leather keychain with engraved name and a charm hanging from a car rear-view mirror in a sunlit interior, blurred road through the windshield in background. Warm golden-hour light. Aspect 2:1. No faces, no text.","Lifestyle car context. Golden hour."
20,Categories — Heroes,Category hero — Fashion & Accessories,1,1200,600,2:1,JPG/WebP,Optional,/super-admin/categories → Hero image,"Flat-lay of personalised fashion accessories on a marble surface: a monogrammed leather wallet, a customised tote bag with embroidered initials, a printed silk scarf folded neatly, a pair of sunglasses, a gold-tone bracelet. Bright airy light. Aspect 2:1. No people, no text.","Marble flat-lay. Editorial fashion vibe."
21,Categories — Heroes,Category hero — Kids Zone,1,1200,600,2:1,JPG/WebP,Optional,/super-admin/categories → Hero image,"Bright playful flat-lay on a pastel mint background: a personalised name wooden puzzle with kid's name in colourful letters, a small plush teddy bear with a name-tag, a customised water bottle with cartoon stickers, scattered crayons. Joyful, clean. Aspect 2:1. No children visible, no text.","Pastel kids flat-lay. Joyful, clean."
22,Categories — Heroes,Category hero — Business & Office,1,1200,600,2:1,JPG/WebP,Optional,/super-admin/categories → Hero image,"Premium B2B gifting arrangement: a row of three identical personalised kraft gift boxes with branded name tags, a custom leather notebook with company logo (blank logo placeholder), a personalised metal pen, a thank-you card with handwritten note. Walnut wood surface, soft directional light. Aspect 2:1. No people, no text on visible items.","Corporate gifting. Walnut + kraft."
23,Categories — Heroes,Category hero — Fridge Magnets,1,1200,600,2:1,JPG/WebP,Optional,/super-admin/categories → Hero image,"Close-up of a white refrigerator door with a curated cluster of 6-8 personalised photo magnets in different shapes (hexagon, circle, rectangle) showing family / pet / travel photos (use generic stock-style faces or scenic placeholders). Bright kitchen daylight, slightly out-of-focus kitchen counter on edge. Aspect 2:1.","Fridge door close-up. Mixed magnet shapes."
24,Categories — Heroes,Category hero — Return Gifts,1,1200,600,2:1,JPG/WebP,Optional,/super-admin/categories → Hero image,"Wedding return-gift display: a long table with a curated row of small identical gift boxes (kraft, gold ribbon, tiny name tag), framed by marigold garlands and brass diyas at edges. Festive Indian wedding context but elegant — not crowded. Soft warm evening light. Aspect 2:1. No people, no text.","Wedding return-gift table. Marigold + brass."
25,Categories — Heroes,Category hero — Others,1,1200,600,2:1,JPG/WebP,Optional,/super-admin/categories → Hero image,"Diverse arrangement of unrelated personalised gift items on cream background: a name plaque, a phone case, a tote, a coaster, a notebook — suggesting variety. Soft daylight. Aspect 2:1. No people, no text.","Variety flat-lay. Catch-all category."
26,Occasions (optional),Occasion circle — Birthday,1,200,200,1:1,PNG (transparent),Optional,/super-admin/homepage-content → Occasion image,"Circular composition: a small birthday cake with a single lit candle on cream background, soft confetti dust around. Centred for circular crop. Brand red and gold accents. 200x200 PNG transparent or cream background.","Birthday cake centred. Crop-safe at 200px circle."
27,Occasions (optional),Occasion circle — Anniversary,1,200,200,1:1,PNG (transparent),Optional,/super-admin/homepage-content → Occasion image,"Circular composition: two intertwined wedding rings on a dried rose petal, soft cream background. Centred. 200x200 PNG.","Rings + petal. Centred."
28,Occasions (optional),Occasion circle — Valentine's,1,200,200,1:1,PNG (transparent),Optional,/super-admin/homepage-content → Occasion image,"Circular composition: a single red rose with a small heart-shaped chocolate, cream background. Centred. 200x200 PNG.","Rose + chocolate."
29,Occasions (optional),Occasion circle — For Him,1,200,200,1:1,PNG (transparent),Optional,/super-admin/homepage-content → Occasion image,"Circular composition: a monogrammed leather wallet on walnut wood, centred. 200x200 PNG.","Monogram wallet."
30,Occasions (optional),Occasion circle — For Her,1,200,200,1:1,PNG (transparent),Optional,/super-admin/homepage-content → Occasion image,"Circular composition: a delicate gold-tone bracelet on a satin ribbon, cream background. Centred. 200x200 PNG.","Bracelet on satin."
31,Occasions (optional),Occasion circle — Friendship,1,200,200,1:1,PNG (transparent),Optional,/super-admin/homepage-content → Occasion image,"Circular composition: two friendship bracelets knotted together on cream linen. Centred. 200x200 PNG.","Friendship bracelets knot."
32,Occasions (optional),Occasion circle — Farewell,1,200,200,1:1,PNG (transparent),Optional,/super-admin/homepage-content → Occasion image,"Circular composition: a small bouquet of dried flowers tied with twine and a tiny kraft tag, cream background. Centred. 200x200 PNG.","Dried bouquet."
33,Occasions (optional),Occasion circle — New Home,1,200,200,1:1,PNG (transparent),Optional,/super-admin/homepage-content → Occasion image,"Circular composition: a brass house key on a leather keychain next to a small terracotta plant pot, cream background. Centred. 200x200 PNG.","Key + plant."
34,Homepage Blocks,Promo hero block 1 (seasonal),1,1600,900,16:9,JPG/WebP,Optional,/super-admin/homepage-content → Hero block image,"Wide seasonal promo composition. Theme: whatever campaign is live (e.g. ''Shop Diwali'' or ''Summer Drops''). Editorial magazine cover style, single strong product hero on the left, brand palette wash on the right. Soft natural lighting. 16:9 aspect. Reserve right third for headline overlay. No text, no people.","Editorial 16:9. Reserve right third for text."
35,Homepage Blocks,Promo hero block 2 (seasonal),1,1600,900,16:9,JPG/WebP,Optional,/super-admin/homepage-content → Hero block image,"Same direction as Hero block 1 but different theme — coordinate with the live campaign. 16:9 aspect, brand palette.","Editorial 16:9."
36,UGC Wall,UGC tile placeholder 1,1,420,560,3:4,JPG,Optional,/super-admin/reviews → Photo,"A customer unboxing a personalised photo frame on a sofa, warm home lighting, vertical phone-style framing. Aspirational but candid — feels like a real customer photo. 3:4 portrait.","Candid customer unboxing. Vertical."
37,UGC Wall,UGC tile placeholder 2,1,420,560,3:4,JPG,Optional,/super-admin/reviews → Photo,"A hand holding a personalised mug with steam rising, kitchen counter background, vertical framing. Warm, intimate. 3:4 portrait.","Hand + mug close-up. Vertical."
38,UGC Wall,UGC tile placeholder 3,1,420,560,3:4,JPG,Optional,/super-admin/reviews → Photo,"Top-down view of a personalised photo frame held above a wooden table next to a coffee cup, hands visible at edges. Lifestyle, vertical. 3:4 portrait.","Top-down frame + coffee."
39,UGC Wall,UGC tile placeholder 4,1,420,560,3:4,JPG,Optional,/super-admin/reviews → Photo,"A personalised car keychain in a hand near a steering wheel, soft sunlight through windshield. Vertical. 3:4 portrait.","Keychain in hand. Car interior."
40,UGC Wall,UGC tile placeholder 5,1,420,560,3:4,JPG,Optional,/super-admin/reviews → Photo,"A wall with a freshly hung personalised photo frame in a modern Indian home. Vertical framing. 3:4 portrait.","Mounted frame on wall."
41,UGC Wall,UGC tile placeholder 6,1,420,560,3:4,JPG,Optional,/super-admin/reviews → Photo,"A bridal hand holding a personalised wedding gift box with mehendi (henna) design subtly visible. Vertical, warm tone. 3:4 portrait.","Bridal hand + gift box. Mehendi context."
42,UGC Wall,UGC tile placeholder 7,1,420,560,3:4,JPG,Optional,/super-admin/reviews → Photo,"A child sitting on the floor with a personalised name wooden puzzle, top-down vertical view. 3:4 portrait.","Child + name puzzle. Top-down."
43,UGC Wall,UGC tile placeholder 8,1,420,560,3:4,JPG,Optional,/super-admin/reviews → Photo,"A bedside table with a personalised photo frame, fairy lights, and a coffee cup. Vertical, cosy evening tone. 3:4 portrait.","Cosy bedside still life."
44,Thank-You Cards,Thank-you template 1 — Birthday warm,1,1200,1800,2:3 (4×6),JPG,Optional,/super-admin/thank-you-cards → Template / Background,"Premium boutique birthday thank-you card design. Top 40%: hand-painted watercolour balloons in dusty rose, butter yellow, and sage green with a subtle gold-foil ''Thank You'' wreath border on the top edge. Bottom 50%: completely empty cream space (#FAF7F2) for the customer's handwritten message. Linen-paper texture overall. Soft drop-shadow. Aspect 2:3 portrait. No pre-written text on the card.","Generate via /super-admin/thank-you-cards → Generate with AI: ''Birthday warm''"
45,Thank-You Cards,Thank-you template 2 — Wedding elegant,1,1200,1800,2:3 (4×6),JPG,Optional,/super-admin/thank-you-cards → Template / Background,"Premium wedding thank-you card. Top 40%: minimal botanical watercolour wreath in dusty rose and champagne with delicate gold-foil ''Thank You'' monogram. Bottom 50%: clean cream negative space for handwritten message. Linen-paper texture. Aspect 2:3. No pre-written text.","Generate via AI prompt: ''Wedding elegant''"
46,Thank-You Cards,Thank-you template 3 — Diwali festive,1,1200,1800,2:3 (4×6),JPG,Optional,/super-admin/thank-you-cards → Template / Background,"Premium Diwali thank-you card. Top 40%: gold-foil diya pattern on deep maroon header band, marigold border. Bottom 50%: cream negative space for handwritten message. Premium not gaudy. Aspect 2:3. No pre-written text.","Generate via AI prompt: ''Diwali festive''"
47,Thank-You Cards,Thank-you template 4 — Corporate minimal,1,1200,1800,2:3 (4×6),JPG,Optional,/super-admin/thank-you-cards → Template / Background,"Premium corporate thank-you card. Top 40%: clean modern geometric pattern in deep navy and champagne gold, debossed-look ''Thank You'' wordmark. Bottom 50%: cream negative space. Professional but warm. Aspect 2:3. No pre-written text beyond the wordmark.","Generate via AI prompt: ''Corporate minimal''"
48,Thank-You Cards,Thank-you template 5 — Anniversary romantic,1,1200,1800,2:3 (4×6),JPG,Optional,/super-admin/thank-you-cards → Template / Background,"Premium anniversary thank-you card. Top 40%: a single watercolour rose in dusty pink with gold-foil heart accent and gold ''With Love'' script (decorative only). Bottom 50%: cream negative space. Aspect 2:3.","Generate via AI prompt: ''Anniversary romantic''"
49,Thank-You Cards,Thank-you template 6 — Generic gratitude,1,1200,1800,2:3 (4×6),JPG,Optional,/super-admin/thank-you-cards → Template / Background,"Premium generic thank-you card. Top 40%: minimal abstract botanical watercolour in sage and cream with subtle gold-foil ''Thank You'' monogram. Bottom 50%: cream negative space. Universally usable across occasions. Aspect 2:3. No pre-written text beyond monogram.","Generate via AI prompt: ''Generic gratitude''"
50,Customizer Masks,Mask shape — Circle,1,800,800,1:1,PNG (transparent),Optional,/super-admin/customizer → Mask shape,"Pure black circle on transparent background. 800x800 PNG with alpha channel. Used as a clipping mask in the photo customizer.","Pure solid #000 silhouette."
51,Customizer Masks,Mask shape — Square,1,800,800,1:1,PNG (transparent),Optional,/super-admin/customizer → Mask shape,"Pure black square on transparent background. 800x800 PNG with alpha channel.","Pure solid silhouette."
52,Customizer Masks,Mask shape — Rounded square,1,800,800,1:1,PNG (transparent),Optional,/super-admin/customizer → Mask shape,"Pure black rounded-corner square (radius ~10% of side) on transparent background. 800x800 PNG.","Smooth rounded corners."
53,Customizer Masks,Mask shape — Heart,1,800,800,1:1,PNG (transparent),Optional,/super-admin/customizer → Mask shape,"Pure black heart silhouette centred on transparent background. Classic heart shape, no outline. 800x800 PNG.","Classic heart silhouette."
54,Customizer Masks,Mask shape — Star,1,800,800,1:1,PNG (transparent),Optional,/super-admin/customizer → Mask shape,"Pure black 5-pointed star silhouette, centred, on transparent background. 800x800 PNG.","5-point star."
55,Customizer Masks,Mask shape — Hexagon,1,800,800,1:1,PNG (transparent),Optional,/super-admin/customizer → Mask shape,"Pure black regular hexagon silhouette, flat-top orientation, centred, on transparent background. 800x800 PNG.","Flat-top hexagon."
56,App Icons,Favicon,1,16,16,1:1,ICO,Required,(code: apps/web/app/favicon.ico),"Single-letter ''G'' monogram in brand red #EF3752 on cream background, optimised for 16x16 readability. ICO format.","Monogram. Generate at 64x64 and downscale."
57,App Icons,Apple touch icon,1,180,180,1:1,PNG,Required,(code: apps/web/app/apple-icon.svg/png),"Gifteeng ''G'' monogram or full wordmark on brand red #EF3752 rounded-square (iOS auto-rounds). White or cream foreground. 180x180 PNG.","iOS home-screen icon."
58,App Icons,PWA manifest icon — medium,1,192,192,1:1,PNG,Required,(code: apps/web/public/icon-192.png),"Gifteeng logo on brand red #EF3752 square. White foreground. 192x192 PNG.","Android launcher / PWA medium."
59,App Icons,PWA manifest icon — high-res,1,512,512,1:1,PNG,Required,(code: apps/web/public/icon-512.png),"Gifteeng logo on brand red #EF3752 square. White foreground, high-detail. 512x512 PNG.","PWA splash / Play Store."
60,Social Share,Open Graph image — homepage,1,1200,630,1.91:1,JPG,Required,(code: apps/web/app/opengraph-image.tsx),"Brand banner: Gifteeng wordmark in white centred on a deep maroon-to-red gradient background, with a subtle flat-lay of two personalised gifts (frame, mug) on the right third. Tagline below wordmark: ''Personalised gifts that feel like you'' in light cream. 1200x630.","Wordmark + tagline + subtle product hint."
61,Social Share,Open Graph image — product (fallback),1,1200,630,1.91:1,JPG,Required,(code: apps/web/app/b2c/products/[slug]/opengraph-image.tsx),"Generic fallback OG image. Cream background with the Gifteeng wordmark and ''Personalised Gift'' label, centred. 1200x630.","Generic product fallback."
